datetime,GHI,GHIcs,k,GHI_d1,GHIcs_d1,k_d1,GHI_d2,GHIcs_d2,k_d2,GHI_d3,GHIcs_d3,k_d3,month,day,hour,year
2016-01-08,70.51410024676571,215.083738120498,0.33051636757850555,0.00021702815238331896,-3.0164579849737244e-06,7.224853874952772e-06,-5.220309489741222e-08,-3.2858851650967854e-07,1.000844049924325e-08,6.5265054999690386e-06,8.082815403753636e-09,2.137430840988106e-07,0.25881904510252074,0.09034173899300005,0.9551833757705077,2016
2016-01-14,124.32886229127577,225.4383250168521,0.5547788083590668,-0.0001245607657821399,-1.0578475131106637e-06,-4.083117645095694e-06,1.0905125408959686e-08,-2.1155689479407074e-09,-3.1063501286088283e-09,-3.740094511086778e-06,-3.110075470868234e-08,-1.215616243142885e-07,0.25881904510252074,0.14163340009144904,0.9533920319340529,2016
2016-01-20,197.1194796999898,236.97441032292673,0.8541762763707521,-2.9621985020935555e-05,1.0692317955789027e-06,-1.0141021759816738e-06,-2.9486347818986733e-09,-2.587689233687357e-09,-9.486332295731626e-10,-8.877749601931812e-07,3.2853260637527606e-08,-3.0138475310576215e-08,0.25881904510252074,0.1925451011868414,0.9513985926807524,2016
2016-01-26,179.18984136982,254.40715655102161,0.7403538842530704,-1.5611591136190006e-05,-1.1884308538559689e-06,-4.870278061795281e-07,1.187327337919327e-07,-2.133401134954667e-09,3.5492920219698605e-09,-5.039675542235086e-07,-3.501290527504116e-08,-1.567562179197649e-08,0.25881904510252074,0.2435410157301345,0.9491107684588627,2016
2016-02-01,145.09787036496857,265.9367325937335,0.555171194955923,0.000151327727373313,7.987248226190749e-07,4.991656824620804e-06,-1.9694622704129884e-07,-2.7122983193320357e-09,-1.8047925171480012e-09,4.5989156893119645e-06,2.477543417441317e-08,1.5029114249377017e-07,0.5,0.292703034898053,0.9461553394413202,2016
2016-02-07,106.07649928170717,281.67490902133517,0.42579991278804746,-0.00016053787344792064,-5.931132257241207e-07,-5.303154391670078e-06,2.0604023206631862e-08,-2.0696767942704016e-09,-4.189135771171069e-09,-4.822317410399429e-06,-1.7172493733142378e-08,-1.5783789101875118e-07,0.5,0.34161562824262437,0.9418305249685909,2016
2016-02-13,155.27383032221292,296.4149428697548,0.5373516232782598,1.645261427962818e-05,-3.344941868660754e-07,5.551689628432553e-07,3.53034268669052e-08,-3.342107974191487e-09,1.771793162129831e-09,4.829874003285309e-07,-9.032193214037169e-09,1.6123530936658326e-08,0.5,0.38762605904751346,0.9362652715669293,2016
2016-02-19,199.34384103026207,319.64005977046475,0.6412550534459014,-9.375985582338351e-05,1.0103309393968074e-06,-3.1330901240204028e-06,1.2990913869561106e-07,-3.630000067597756e-09,1.292075339143396e-09,-2.851768416310238e-06,3.139892820211631e-08,-9.438032632235796e-08,0.49999999999999994,0.4289325091469906,0.9352590756623047,2016
2016-02-25,226.51196546144402,341.35001868860604,0.6731838508555256,8.804262917085099e-05,-7.748701994939574e-07,2.9405248113831053e-06,-1.4172525387760983e-07,-3.832961554289081e-09,-1.676117379000776e-09,2.683796451288828e-06,-2.2096217518545965e-08,8.871857955519285e-08,0.5407349293428512,0.48568176267762364,0.9291422045364984,2016
2016-03-02,167.5376895382295,367.7909240821006,0.46368991879877053,-7.83400528291388e-05,1.1259034315454665e-06,-2.6199060802119227e-06,7.507298762663059e-08,-2.4464736661190168e-09,-1.2939353038262357e-10,-2.3727234811620888e-06,3.451104504631842e-08,-7.855836434724315e-08,0.7071067811865475,0.5271422807243108,0.9251324654821275,2016
