datetime,GHI,GHIcs,k,GHI_d1,GHIcs_d1,k_d1,GHI_d2,GHIcs_d2,k_d2,GHI_d3,GHIcs_d3,k_d3,month,day,hour,year
2016-01-08,38.375630369253955,211.43339011985955,0.2002706537581375,-0.00032324792765636777,-1.9338744306689517e-05,-1.0373860095157527e-05,-1.9216277317260715e-07,-1.977831303554531e-06,1.744442653098649e-08,-9.63978899773918e-06,1.318706186558494e-08,-3.164491308140214e-07,0.25881904510252074,0.06880242680231986,0.9559461005891432,2016
2016-01-09,53.33721184851894,212.60523288588,0.31081716114339714,0.0008686164229471316,-7.338252450686418e-06,2.8984841102839713e-05,-4.5369328833893467e-07,-3.2346101989202903e-10,1.0138480993703637e-08,2.619460067491545e-05,-2.200505352142819e-07,8.665036887870806e-07,0.25881904510252074,0.07738647923346309,0.9555450895857265,2016
2016-01-10,32.68683003361972,214.09816553792876,0.18771784065635305,0.00012502801643630916,4.357455723263396e-06,4.003195837875814e-06,3.0818079940231493e-06,-3.947047092809634e-09,1.0489709134404447e-07,2.8262980948823576e-06,1.3190778582539296e-07,8.862674773306096e-08,0.25881904510252074,0.08596479873744647,0.955280526960622,2016
2016-01-11,118.88185634536659,215.7062954816553,0.482943426534712,-0.0010299218459248291,-3.635291419246974e-06,-3.414558957754461e-05,-2.3930033494595717e-06,-1.6829082624338146e-09,-1.082185907919282e-07,-3.0179754372906105e-05,-1.0855387009808918e-07,-9.919021100887587e-07,0.25881904510252074,0.09453674981719926,0.9550665104630659,2016
2016-01-12,55.37723436066261,217.42814203037332,0.2727249858351817,0.00016585094549499368,7.87075260492448e-06,5.431789341938494e-06,1.0493140526509372e-06,-5.281858655582281e-09,3.905660110687715e-08,4.660734149054466e-06,2.3770713574444883e-07,1.512366999260929e-07,0.25881904510252074,0.10310169744743485,0.9548056842279239,2016
2016-01-13,123.38594573643411,219.12246306829962,0.5249694549755934,0.0014835363602805456,-2.8275358561031444e-07,4.9046838410779e-05,-1.3916574381674757e-06,-2.937422156052377e-09,-2.8249664102869042e-09,4.492358803986746e-05,-7.601380921654858e-09,1.4722526422464555e-06,0.25881904510252074,0.11165900712169449,0.9544759616035311,2016
2016-01-14,52.013061006982724,220.925810518667,0.24609632062376435,-0.001403087100330761,-8.524844619528595e-06,-4.6269452308982464e-05,7.056229327452464e-07,-5.312850480383998e-10,-1.6963642029460088e-08,-4.230429988974653e-05,-2.555859530712351e-07,-1.3829944766606357e-06,0.25881904510252074,0.1202080448993527,0.9541971171618675,2016
2016-01-15,193.11171057446032,222.83644025780293,0.8178599830924328,-5.550676911818547e-05,2.6636582593474642e-06,-1.8807098169022805e-06,-3.07354555433664e-07,-4.0398559277826555e-09,-1.1796403307794865e-08,-1.5729967069159354e-06,8.112170455883732e-08,-5.288237351473426e-08,0.25881904510252074,0.12874817745258077,0.9538729620997792,2016
2016-01-16,168.46550309653915,224.61550758580867,0.7230185134472786,0.00045187613843351507,5.433227234392648e-07,1.5003568593849918e-05,5.173041894356807e-07,-2.694433294222012e-09,3.028718687376757e-08,1.3401092896175177e-05,1.7108011692001033e-08,4.410209017533667e-07,0.25881904510252074,0.13727877211326478,0.9535516411803102,2016
2016-01-17,84.46679397896264,226.26054429991945,0.4110730009766301,0.00019989118607181722,-1.6039955908501059e-06,6.690508240322731e-06,-6.166122597051904e-08,-1.332752187313129e-09,3.98663520282718e-09,6.015233949945715e-06,-4.772004206737702e-08,1.995192566488347e-07,0.25881904510252074,0.14579919691987467,0.9532331173961578,2016
2016-01-18,152.52282845063127,228.00629419922745,0.6800918301729871,-2.925243770314211e-05,-3.418243291954526e-07,-9.62587962939082e-07,-1.0328638497652165e-06,-1.8203568133898219e-09,-3.4846284830865336e-08,-5.677139761641331e-07,-9.708622832537326e-09,-1.8423753438912374e-08,0.25881904510252074,0.15430882066428117,0.952917354381532,2016
2016-01-19,95.36925134843581,229.85061254466348,0.44989256659889404,7.299532542250995e-05,8.388348332295025e-07,2.4013300514477595e-06,2.55303847536887e-07,-2.2732265368674963e-09,1.0601980026438287e-08,2.1132686084143954e-06,2.584701295739989e-08,6.885930753550227e-08,0.25881904510252074,0.16280701293851677,0.9526043163983162,2016
2016-01-20,89.1016813462227,231.79133334582662,0.4099023188953532,-0.0002271392767633369,1.9425866994402695e-06,-7.602868877772543e-06,-1.9692087361257442e-07,-2.6991160317142007e-09,-1.3194325801366698e-08,-6.755102040816414e-06,5.908733579340865e-08,-2.2412776859276622e-07,0.25881904510252074,0.1712931441814776,0.9522939683225823,2016
2016-01-21,168.52767818959373,233.75368842424402,0.736230487091479,0.000342159657875979,2.972423693481329e-06,1.1248457832962824e-05,-1.247327156090608e-07,-3.104787015601712e-09,5.950813027595552e-09,1.0302209550962908e-05,9.010414690874172e-08,3.356684910806068e-07,0.25881904510252074,0.17976658572556212,0.9519297421548536,2016
2016-01-22,225.42936808510638,235.7343717404231,0.9569089002459155,2.5957446808510416e-05,-5.683307702743879e-06,1.07088354243058e-06,-3.191489361700052e-07,-4.170609417598929e-10,-9.450452896669527e-09,8.744680851067904e-07,-1.703741128007604e-07,3.496164214192238e-08,0.25881904510252074,0.1882267098432442,0.9515590563760911,2016
2016-01-23,259.94568337451466,237.87671463120378,1.1012358874674677,-0.00032605012354394643,4.7864156834300774e-06,-1.0979223031543544e-05,4.871161313093988e-07,-3.81321267424644e-09,6.277279126639806e-09,-9.927638545710399e-06,1.4473643430581105e-07,-3.3125987468429487e-07,0.25881904510252074,0.19667288979357628,0.9512016738235523,2016
